Daily Total,Sleep wo alarm,💪 Exercise,📖 Read,🚿 Shower,Assignment,Code Commit,Date,Leetcode problem to think about,Prep/Apply 1 US / Big tech,Study,📔 Write
,No,No,No,No,No,No,,No,No,No,No
,No,No,No,No,No,No,,No,No,No,No
,No,No,No,No,No,No,,No,No,No,No
,No,No,No,No,No,No,,No,No,No,No
,No,No,No,No,No,No,,No,No,No,No
,No,Yes,No,Yes,No,No,"January 1, 2026",No,Yes,No,No
,Yes,Yes,Yes,Yes,No,Yes,"January 2, 2026",Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,No,Yes,"January 3, 2026",No,Yes,No,No
,No,Yes,No,Yes,No,Yes,"January 4, 2026",Yes,Yes,No,No
,No,No,Yes,Yes,No,No,,No,No,Yes,No
,No,Yes,Yes,Yes,No,Yes,"January 5, 2026",No,Yes,Yes,No
,No,Yes,Yes,Yes,No,Yes,"January 6, 2026",Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,No,Yes,"January 7, 2026",Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,"January 8, 2026",Yes,Yes,Yes,Yes
,No,Yes,Yes,Yes,No,Yes,"January 9, 2026",Yes,Yes,Yes,No
,Yes,Yes,No,Yes,Yes,Yes,"January 10, 2026",Yes,Yes,Yes,No
,No,No,No,Yes,No,Yes,"January 11, 2026",No,Yes,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"January 12, 2026",Yes,Yes,No,No
,No,No,Yes,Yes,Yes,Yes,"January 13, 2026",Yes,No,Yes,No
,No,Yes,Yes,Yes,Yes,Yes,"January 14, 2026",Yes,Yes,No,Yes
,Yes,Yes,No,Yes,Yes,Yes,"January 15, 2026",Yes,Yes,No,No
,No,No,Yes,Yes,Yes,Yes,"January 16, 2026",Yes,Yes,Yes,Yes
,Yes,Yes,No,Yes,Yes,Yes,"January 17, 2026",Yes,No,No,No
,No,No,No,Yes,Yes,Yes,"January 18, 2026",Yes,Yes,Yes,Yes
,No,No,Yes,Yes,Yes,Yes,"January 19, 2026",No,Yes,No,Yes
,No,No,Yes,Yes,Yes,Yes,"January 20, 2026",No,Yes,Yes,Yes
,No,No,Yes,Yes,Yes,Yes,"January 21, 2026",No,Yes,Yes,Yes
,No,No,Yes,Yes,Yes,Yes,"January 22, 2026",No,Yes,Yes,Yes
,No,No,Yes,Yes,Yes,Yes,"January 23, 2026",Yes,Yes,Yes,Yes
,No,Yes,Yes,Yes,No,Yes,"January 24, 2026",No,Yes,No,No
,No,Yes,No,Yes,Yes,Yes,"January 25, 2026",No,Yes,No,No
,No,Yes,Yes,Yes,No,Yes,"January 26, 2026",Yes,Yes,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,"January 27, 2026",No,Yes,Yes,No
,No,No,Yes,Yes,Yes,Yes,"January 28, 2026",No,Yes,No,No
,No,No,Yes,Yes,Yes,Yes,"January 29, 2026",No,Yes,Yes,Yes
,Yes,Yes,No,Yes,Yes,Yes,"January 30, 2026",No,Yes,Yes,Yes
,Yes,No,No,Yes,Yes,Yes,"January 31, 2026",No,Yes,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"February 1, 2026",Yes,Yes,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,"February 2, 2026",Yes,Yes,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"February 3, 2026",Yes,Yes,Yes,No
,Yes,Yes,Yes,Yes,Yes,Yes,"February 4, 2026",Yes,Yes,Yes,No
,Yes,Yes,No,Yes,Yes,Yes,"February 5, 2026",No,Yes,No,No
,Yes,Yes,No,Yes,Yes,Yes,"February 6, 2026",No,Yes,No,No
,Yes,No,Yes,Yes,Yes,Yes,"February 7, 2026",No,Yes,No,No
,No,No,No,Yes,Yes,Yes,"February 8, 2026",No,Yes,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"February 9, 2026",No,Yes,No,No
,No,Yes,Yes,Yes,Yes,Yes,"February 10, 2026",Yes,Yes,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"February 11, 2026",Yes,Yes,Yes,Yes
,No,Yes,No,Yes,Yes,Yes,"February 12, 2026",Yes,No,No,No
,No,No,Yes,Yes,No,Yes,"February 13, 2026",No,No,No,No
,No,No,No,Yes,No,Yes,"February 14, 2026",No,No,No,No
,No,No,No,No,No,Yes,"February 15, 2026",No,No,No,No
,No,No,No,Yes,Yes,Yes,"February 16, 2026",No,Yes,No,Yes
,Yes,No,Yes,Yes,No,No,"February 17, 2026",No,No,No,Yes
,No,No,Yes,Yes,Yes,Yes,"February 19, 2026",Yes,No,No,No
,Yes,Yes,Yes,Yes,Yes,Yes,"February 20, 2026",Yes,Yes,Yes,Yes
,Yes,Yes,Yes,Yes,Yes,Yes,"February 21, 2026",Yes,No,Yes,Yes
,Yes,Yes,Yes,Yes,Yes,Yes,"February 18, 2026",No,Yes,No,No
,Yes,Yes,Yes,Yes,No,Yes,"February 22, 2026",No,No,Yes,Yes
,Yes,Yes,No,Yes,Yes,Yes,"February 23, 2026",No,Yes,Yes,Yes
,No,No,No,Yes,Yes,Yes,"February 24, 2026",Yes,No,Yes,Yes
,No,No,No,Yes,No,Yes,"February 25, 2026",Yes,No,Yes,Yes
,Yes,No,No,Yes,No,Yes,"February 26, 2026",Yes,No,Yes,Yes
,No,Yes,No,Yes,Yes,Yes,"February 27, 2026",No,No,No,No
,Yes,No,No,Yes,Yes,Yes,"February 28, 2026",No,No,No,Yes
,No,Yes,Yes,Yes,Yes,Yes,"March 1, 2026",No,No,No,Yes
,Yes,Yes,Yes,Yes,Yes,Yes,"March 2, 2026",No,Yes,No,Yes
,Yes,No,Yes,Yes,Yes,Yes,"March 3, 2026",Yes,Yes,No,Yes
,Yes,No,No,Yes,Yes,Yes,"March 4, 2026",No,Yes,No,Yes
,Yes,No,No,Yes,Yes,Yes,"March 5, 2026",Yes,Yes,No,No
,Yes,Yes,No,Yes,Yes,Yes,"March 6, 2026",Yes,Yes,No,No
,Yes,No,Yes,Yes,Yes,Yes,"March 7, 2026",No,No,No,No
,Yes,No,No,Yes,No,Yes,"March 8, 2026",No,No,No,No
,Yes,Yes,Yes,Yes,No,Yes,"March 9, 2026",No,No,Yes,No
,No,Yes,Yes,Yes,Yes,Yes,"March 10, 2026",No,No,No,No
,Yes,No,Yes,Yes,Yes,Yes,"March 11, 2026",No,No,Yes,Yes
,Yes,No,No,Yes,No,No,"March 12, 2026",No,No,No,No
,Yes,Yes,No,Yes,Yes,Yes,"March 13, 2026",No,No,No,No
,No,No,No,Yes,No,Yes,"March 14, 2026",No,No,No,No
,No,No,No,Yes,No,Yes,"March 15, 2026",No,No,No,No
,Yes,Yes,No,Yes,Yes,Yes,"March 16, 2026",No,No,No,Yes
,Yes,No,No,Yes,Yes,Yes,"March 17, 2026",No,No,No,No
Habits,No,No,No,No,No,No,,No,No,No,No